w,n,k
0.000354,1.000000,0.000000
0.000375,1.000000,0.000000
0.000397,1.000000,0.000000
0.000420,1.000000,0.000001
0.000445,1.000000,0.000001
0.000471,1.000000,0.000001
0.000498,1.000000,0.000001
0.000528,1.000000,0.000001
0.000558,1.000000,0.000002
0.000591,1.000000,0.000002
0.000626,1.000000,0.000003
0.000662,1.000000,0.000004
0.000701,1.000000,0.000004
0.000742,1.000000,0.000006
0.000786,1.000000,0.000007
0.000832,1.000000,0.000009
0.000880,1.000000,0.000011
0.000931,1.000000,0.000014
0.000986,1.000000,0.000017
0.001044,1.000000,0.000021
0.001105,1.000000,0.000026
0.001170,1.000000,0.000032
0.001239,1.000000,0.000040
0.001310,1.000000,0.000050
0.001387,1.000000,0.000062
0.001468,0.999400,0.000077
0.001554,0.999400,0.000095
0.001645,0.999300,0.000117
0.001742,0.999200,0.000145
0.001844,0.999100,0.000176
0.001951,0.999000,0.000218
0.002066,0.998900,0.000268
0.002187,0.998800,0.000328
0.002314,0.998600,0.000403
0.002450,0.998500,0.000489
0.002593,0.998300,0.000598
0.002745,0.998200,0.000732
0.002906,0.998000,0.000887
0.003076,0.997800,0.001079
0.003256,0.997700,0.001327
0.003447,0.997600,0.001622
0.003648,0.997600,0.001971
0.003861,0.997600,0.002390
0.004088,0.998500,0.002903
0.004327,0.998700,0.003521
0.004580,0.999200,0.000169
0.004849,0.997400,0.000205
0.005132,0.996800,0.000249
0.005433,0.996000,0.000303
0.005750,0.995300,0.000369
0.006086,0.994500,0.000448
0.006444,0.993600,0.000543
0.006820,0.992700,0.000655
0.007221,0.991700,0.000791
0.007644,0.990500,0.000953
0.008087,0.989300,0.001148
0.008562,0.987900,0.001384
0.009063,0.986300,0.001667
0.009596,0.984600,0.001986
0.010154,0.982600,0.002340
0.010753,0.980400,0.002752
0.011374,0.977900,0.003266
0.012049,0.975000,0.003925
0.012750,0.972000,0.004755
0.013495,0.968400,0.005747
0.014285,0.965000,0.006877
0.015121,0.959400,0.008168
0.016006,0.955000,0.009688
0.016944,0.950600,0.011530
0.017934,0.943100,0.013810
0.018986,0.935900,0.016700
0.020097,0.928300,0.020300
0.021273,0.919300,0.024760
0.022517,0.909500,0.030240
0.023833,0.898300,0.036910
0.025230,0.886100,0.044930
